Smooth\order	"witten_bell"	"absolute"	"katz"	"kneser_ney"	"presmoothed"	"unsmoothed"	
order-1	88.84	88.84	88.84	88.84	88.84	88.84	
order-2	92.68	92.69	92.62	92.68	92.65	92.60	
order-3	92.62	92.65	92.09	92.64	90.74	92.55	
order-4	92.86	92.85	91.88	92.78	89.97	92.67	
order-5	92.90	92.88	88.16	92.90	90.00	92.83	
order-6	92.01	92.89	88.06	92.81	90.12	92.69	
order-7	91.51	92.26	87.75	92.64	90.04	92.61	
order-8	91.79	92.16	87.80	92.51	90.07	92.44	
order-9	91.67	92.24	87.92	92.67	90.30	92.67	
order-10	91.79	92.29	88.18	92.69	90.23	92.54	
