Smooth\order	"witten_bell"	"absolute"	"katz"	"kneser_ney"	"presmoothed"	"unsmoothed"	
order-1	57.62	57.62	57.62	57.62	57.62	57.62	
order-2	76.31	76.31	75.84	76.27	76.21	76.15	
order-3	75.52	75.62	74.05	75.67	67.95	75.46	
order-4	76.07	76.04	73.12	76.04	67.01	75.85	
order-5	76.17	76.00	63.19	76.01	66.75	75.90	
order-6	73.54	76.03	63.51	75.83	67.26	75.50	
order-7	71.12	74.09	62.80	75.15	66.81	75.17	
order-8	72.12	73.48	62.66	74.71	66.87	74.58	
order-9	72.04	73.66	63.28	74.93	67.65	75.24	
order-10	72.25	73.63	63.70	75.14	67.27	75.05	
