Smooth\order	"witten_bell"	"absolute"	"katz"	"kneser_ney"	"presmoothed"	"unsmoothed"	
order-1	55.47	55.47	55.47	55.47	55.47	55.47	
order-2	78.49	78.49	78.00	78.41	78.39	78.37	
order-3	76.55	76.65	75.57	76.67	64.81	76.53	
order-4	77.00	77.05	72.46	76.75	62.28	77.03	
order-5	76.92	76.85	56.85	76.68	62.25	77.23	
order-6	74.23	76.92	56.84	76.61	62.80	76.60	
order-7	70.48	74.13	56.28	75.60	62.42	76.13	
order-8	71.92	73.82	56.23	75.37	62.66	75.78	
order-9	71.94	74.01	56.87	75.63	64.27	76.57	
order-10	72.19	73.94	57.49	75.77	63.89	76.25	
