Smooth\order	"witten_bell"	"absolute"	"katz"	"kneser_ney"	"presmoothed"	"unsmoothed"	
order-1	59.95	59.95	59.95	59.95	59.95	59.95	
order-2	74.24	74.24	73.79	74.24	74.15	74.06	
order-3	74.52	74.61	72.59	74.70	71.40	74.43	
order-4	75.16	75.07	73.79	75.34	72.50	74.70	
order-5	75.44	75.16	71.13	75.34	71.95	74.61	
order-6	72.87	75.16	71.95	75.07	72.41	74.43	
order-7	71.77	74.06	71.04	74.70	71.86	74.24	
order-8	72.32	73.14	70.76	74.06	71.68	73.42	
order-9	72.14	73.33	71.31	74.24	71.40	73.97	
order-10	72.32	73.33	71.40	74.52	71.04	73.88	
